id,Review Title,sentiment_category
0,"A challenging watch to be sure, but a worthwhile one.",positive
1,Murphy is exceptional,neutral
2,Quality but exhausting,negative
3,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
4,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
5,"Nolan touches greatness, falls slightly short",neutral
6,Oppen-bore-mer,neutral
7,And the Oscar goes to...,neutral
8,Is it just me ?,neutral
9,A Masterpiece,positive
10,"Breaks all filmmaklng rules, but not in a good way",negative
11,Another Cinematic Masterpiece by Christopher Nolan,positive
12,Too loud and too long,neutral
13,Disappointing,negative
14,Overlong and Overcomplicated,neutral
15,Exceptional storytelling and Genius Cinametography,neutral
16,Technically superb but...,positive
17,This movie is the bomb!,positive
18,"Murphy is Amazing, But Downey Jr Steals The Show",negative
19,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
20,this is a great film but lacks pace and drama,positive
21,This just might be as interesting as this topic can get,positive
22,Stunning - put it in a time capsule,positive
23,"Half an Hour too long, misses the point",negative
24,"Bloated, talky, unnecessarily complicated.",neutral
25,"A challenging watch to be sure, but a worthwhile one.",positive
26,Murphy is exceptional,neutral
27,Quality but exhausting,negative
28,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
29,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
30,"Nolan touches greatness, falls slightly short",neutral
31,Oppen-bore-mer,neutral
32,And the Oscar goes to...,neutral
33,Is it just me ?,neutral
34,A Masterpiece,positive
35,"Breaks all filmmaklng rules, but not in a good way",negative
36,Another Cinematic Masterpiece by Christopher Nolan,positive
37,Too loud and too long,neutral
38,Disappointing,negative
39,Overlong and Overcomplicated,neutral
40,Exceptional storytelling and Genius Cinametography,neutral
41,Technically superb but...,positive
42,This movie is the bomb!,positive
43,"Murphy is Amazing, But Downey Jr Steals The Show",negative
44,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
45,this is a great film but lacks pace and drama,positive
46,This just might be as interesting as this topic can get,positive
47,Stunning - put it in a time capsule,positive
48,"Half an Hour too long, misses the point",negative
49,"Bloated, talky, unnecessarily complicated.",neutral
50,"A challenging watch to be sure, but a worthwhile one.",positive
51,Murphy is exceptional,neutral
52,Quality but exhausting,negative
53,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
54,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
55,"Nolan touches greatness, falls slightly short",neutral
56,Oppen-bore-mer,neutral
57,And the Oscar goes to...,neutral
58,Is it just me ?,neutral
59,A Masterpiece,positive
60,"Breaks all filmmaklng rules, but not in a good way",negative
61,Another Cinematic Masterpiece by Christopher Nolan,positive
62,Too loud and too long,neutral
63,Disappointing,negative
64,Overlong and Overcomplicated,neutral
65,Exceptional storytelling and Genius Cinametography,neutral
66,Technically superb but...,positive
67,This movie is the bomb!,positive
68,"Murphy is Amazing, But Downey Jr Steals The Show",negative
69,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
70,this is a great film but lacks pace and drama,positive
71,This just might be as interesting as this topic can get,positive
72,Stunning - put it in a time capsule,positive
73,"Half an Hour too long, misses the point",negative
74,"Bloated, talky, unnecessarily complicated.",neutral
75,"A challenging watch to be sure, but a worthwhile one.",positive
76,Murphy is exceptional,neutral
77,Quality but exhausting,negative
78,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
79,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
80,"Nolan touches greatness, falls slightly short",neutral
81,Oppen-bore-mer,neutral
82,And the Oscar goes to...,neutral
83,Is it just me ?,neutral
84,A Masterpiece,positive
85,"Breaks all filmmaklng rules, but not in a good way",negative
86,Another Cinematic Masterpiece by Christopher Nolan,positive
87,Too loud and too long,neutral
88,Disappointing,negative
89,Overlong and Overcomplicated,neutral
90,Exceptional storytelling and Genius Cinametography,neutral
91,Technically superb but...,positive
92,This movie is the bomb!,positive
93,"Murphy is Amazing, But Downey Jr Steals The Show",negative
94,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
95,this is a great film but lacks pace and drama,positive
96,This just might be as interesting as this topic can get,positive
97,Stunning - put it in a time capsule,positive
98,"Half an Hour too long, misses the point",negative
99,"Bloated, talky, unnecessarily complicated.",neutral
100,"A challenging watch to be sure, but a worthwhile one.",positive
101,Murphy is exceptional,neutral
102,Quality but exhausting,negative
103,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
104,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
105,"Nolan touches greatness, falls slightly short",neutral
106,Oppen-bore-mer,neutral
107,And the Oscar goes to...,neutral
108,Is it just me ?,neutral
109,A Masterpiece,positive
110,"Breaks all filmmaklng rules, but not in a good way",negative
111,Another Cinematic Masterpiece by Christopher Nolan,positive
112,Too loud and too long,neutral
113,Disappointing,negative
114,Overlong and Overcomplicated,neutral
115,Exceptional storytelling and Genius Cinametography,neutral
116,Technically superb but...,positive
117,This movie is the bomb!,positive
118,"Murphy is Amazing, But Downey Jr Steals The Show",negative
119,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
120,this is a great film but lacks pace and drama,positive
121,This just might be as interesting as this topic can get,positive
122,Stunning - put it in a time capsule,positive
123,"Half an Hour too long, misses the point",negative
124,"Bloated, talky, unnecessarily complicated.",neutral
125,"A challenging watch to be sure, but a worthwhile one.",positive
126,Murphy is exceptional,neutral
127,Quality but exhausting,negative
128,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
129,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
130,"Nolan touches greatness, falls slightly short",neutral
131,Oppen-bore-mer,neutral
132,And the Oscar goes to...,neutral
133,Is it just me ?,neutral
134,A Masterpiece,positive
135,"Breaks all filmmaklng rules, but not in a good way",negative
136,Another Cinematic Masterpiece by Christopher Nolan,positive
137,Too loud and too long,neutral
138,Disappointing,negative
139,Overlong and Overcomplicated,neutral
140,Exceptional storytelling and Genius Cinametography,neutral
141,Technically superb but...,positive
142,This movie is the bomb!,positive
143,"Murphy is Amazing, But Downey Jr Steals The Show",negative
144,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
145,this is a great film but lacks pace and drama,positive
146,This just might be as interesting as this topic can get,positive
147,Stunning - put it in a time capsule,positive
148,"Half an Hour too long, misses the point",negative
149,"Bloated, talky, unnecessarily complicated.",neutral
150,"A challenging watch to be sure, but a worthwhile one.",positive
151,Murphy is exceptional,neutral
152,Quality but exhausting,negative
153,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
154,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
155,"Nolan touches greatness, falls slightly short",neutral
156,Oppen-bore-mer,neutral
157,And the Oscar goes to...,neutral
158,Is it just me ?,neutral
159,A Masterpiece,positive
160,"Breaks all filmmaklng rules, but not in a good way",negative
161,Another Cinematic Masterpiece by Christopher Nolan,positive
162,Too loud and too long,neutral
163,Disappointing,negative
164,Overlong and Overcomplicated,neutral
165,Exceptional storytelling and Genius Cinametography,neutral
166,Technically superb but...,positive
167,This movie is the bomb!,positive
168,"Murphy is Amazing, But Downey Jr Steals The Show",negative
169,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
170,this is a great film but lacks pace and drama,positive
171,This just might be as interesting as this topic can get,positive
172,Stunning - put it in a time capsule,positive
173,"Half an Hour too long, misses the point",negative
174,"Bloated, talky, unnecessarily complicated.",neutral
175,"A challenging watch to be sure, but a worthwhile one.",positive
176,Murphy is exceptional,neutral
177,Quality but exhausting,negative
178,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
179,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
180,"Nolan touches greatness, falls slightly short",neutral
181,Oppen-bore-mer,neutral
182,And the Oscar goes to...,neutral
183,Is it just me ?,neutral
184,A Masterpiece,positive
185,"Breaks all filmmaklng rules, but not in a good way",negative
186,Another Cinematic Masterpiece by Christopher Nolan,positive
187,Too loud and too long,neutral
188,Disappointing,negative
189,Overlong and Overcomplicated,neutral
190,Exceptional storytelling and Genius Cinametography,neutral
191,Technically superb but...,positive
192,This movie is the bomb!,positive
193,"Murphy is Amazing, But Downey Jr Steals The Show",negative
194,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
195,this is a great film but lacks pace and drama,positive
196,This just might be as interesting as this topic can get,positive
197,Stunning - put it in a time capsule,positive
198,"Half an Hour too long, misses the point",negative
199,"Bloated, talky, unnecessarily complicated.",neutral
200,"A challenging watch to be sure, but a worthwhile one.",positive
201,Murphy is exceptional,neutral
202,Quality but exhausting,negative
203,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
204,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
205,"Nolan touches greatness, falls slightly short",neutral
206,Oppen-bore-mer,neutral
207,And the Oscar goes to...,neutral
208,Is it just me ?,neutral
209,A Masterpiece,positive
210,"Breaks all filmmaklng rules, but not in a good way",negative
211,Another Cinematic Masterpiece by Christopher Nolan,positive
212,Too loud and too long,neutral
213,Disappointing,negative
214,Overlong and Overcomplicated,neutral
215,Exceptional storytelling and Genius Cinametography,neutral
216,Technically superb but...,positive
217,This movie is the bomb!,positive
218,"Murphy is Amazing, But Downey Jr Steals The Show",negative
219,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
220,this is a great film but lacks pace and drama,positive
221,This just might be as interesting as this topic can get,positive
222,Stunning - put it in a time capsule,positive
223,"Half an Hour too long, misses the point",negative
224,"Bloated, talky, unnecessarily complicated.",neutral
225,"A challenging watch to be sure, but a worthwhile one.",positive
226,Murphy is exceptional,neutral
227,Quality but exhausting,negative
228,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
229,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
230,"Nolan touches greatness, falls slightly short",neutral
231,Oppen-bore-mer,neutral
232,And the Oscar goes to...,neutral
233,Is it just me ?,neutral
234,A Masterpiece,positive
235,"Breaks all filmmaklng rules, but not in a good way",negative
236,Another Cinematic Masterpiece by Christopher Nolan,positive
237,Too loud and too long,neutral
238,Disappointing,negative
239,Overlong and Overcomplicated,neutral
240,Exceptional storytelling and Genius Cinametography,neutral
241,Technically superb but...,positive
242,This movie is the bomb!,positive
243,"Murphy is Amazing, But Downey Jr Steals The Show",negative
244,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
245,this is a great film but lacks pace and drama,positive
246,This just might be as interesting as this topic can get,positive
247,Stunning - put it in a time capsule,positive
248,"Half an Hour too long, misses the point",negative
249,"Bloated, talky, unnecessarily complicated.",neutral
250,"A challenging watch to be sure, but a worthwhile one.",positive
251,Murphy is exceptional,neutral
252,Quality but exhausting,negative
253,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
254,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
255,"Nolan touches greatness, falls slightly short",neutral
256,Oppen-bore-mer,neutral
257,And the Oscar goes to...,neutral
258,Is it just me ?,neutral
259,A Masterpiece,positive
260,"Breaks all filmmaklng rules, but not in a good way",negative
261,Another Cinematic Masterpiece by Christopher Nolan,positive
262,Too loud and too long,neutral
263,Disappointing,negative
264,Overlong and Overcomplicated,neutral
265,Exceptional storytelling and Genius Cinametography,neutral
266,Technically superb but...,positive
267,This movie is the bomb!,positive
268,"Murphy is Amazing, But Downey Jr Steals The Show",negative
269,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
270,this is a great film but lacks pace and drama,positive
271,This just might be as interesting as this topic can get,positive
272,Stunning - put it in a time capsule,positive
273,"Half an Hour too long, misses the point",negative
274,"Bloated, talky, unnecessarily complicated.",neutral
275,"A challenging watch to be sure, but a worthwhile one.",positive
276,Murphy is exceptional,neutral
277,Quality but exhausting,negative
278,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
279,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
280,"Nolan touches greatness, falls slightly short",neutral
281,Oppen-bore-mer,neutral
282,And the Oscar goes to...,neutral
283,Is it just me ?,neutral
284,A Masterpiece,positive
285,"Breaks all filmmaklng rules, but not in a good way",negative
286,Another Cinematic Masterpiece by Christopher Nolan,positive
287,Too loud and too long,neutral
288,Disappointing,negative
289,Overlong and Overcomplicated,neutral
290,Exceptional storytelling and Genius Cinametography,neutral
291,Technically superb but...,positive
292,This movie is the bomb!,positive
293,"Murphy is Amazing, But Downey Jr Steals The Show",negative
294,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
295,this is a great film but lacks pace and drama,positive
296,This just might be as interesting as this topic can get,positive
297,Stunning - put it in a time capsule,positive
298,"Half an Hour too long, misses the point",negative
299,"Bloated, talky, unnecessarily complicated.",neutral
300,"A challenging watch to be sure, but a worthwhile one.",positive
301,Murphy is exceptional,neutral
302,Quality but exhausting,negative
303,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
304,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
305,"Nolan touches greatness, falls slightly short",neutral
306,Oppen-bore-mer,neutral
307,And the Oscar goes to...,neutral
308,Is it just me ?,neutral
309,A Masterpiece,positive
310,"Breaks all filmmaklng rules, but not in a good way",negative
311,Another Cinematic Masterpiece by Christopher Nolan,positive
312,Too loud and too long,neutral
313,Disappointing,negative
314,Overlong and Overcomplicated,neutral
315,Exceptional storytelling and Genius Cinametography,neutral
316,Technically superb but...,positive
317,This movie is the bomb!,positive
318,"Murphy is Amazing, But Downey Jr Steals The Show",negative
319,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
320,this is a great film but lacks pace and drama,positive
321,This just might be as interesting as this topic can get,positive
322,Stunning - put it in a time capsule,positive
323,"Half an Hour too long, misses the point",negative
324,"Bloated, talky, unnecessarily complicated.",neutral
325,"A challenging watch to be sure, but a worthwhile one.",positive
326,Murphy is exceptional,neutral
327,Quality but exhausting,negative
328,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
329,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
330,"Nolan touches greatness, falls slightly short",neutral
331,Oppen-bore-mer,neutral
332,And the Oscar goes to...,neutral
333,Is it just me ?,neutral
334,A Masterpiece,positive
335,"Breaks all filmmaklng rules, but not in a good way",negative
336,Another Cinematic Masterpiece by Christopher Nolan,positive
337,Too loud and too long,neutral
338,Disappointing,negative
339,Overlong and Overcomplicated,neutral
340,Exceptional storytelling and Genius Cinametography,neutral
341,Technically superb but...,positive
342,This movie is the bomb!,positive
343,"Murphy is Amazing, But Downey Jr Steals The Show",negative
344,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
345,this is a great film but lacks pace and drama,positive
346,This just might be as interesting as this topic can get,positive
347,Stunning - put it in a time capsule,positive
348,"Half an Hour too long, misses the point",negative
349,"Bloated, talky, unnecessarily complicated.",neutral
350,"A challenging watch to be sure, but a worthwhile one.",positive
351,Murphy is exceptional,neutral
352,Quality but exhausting,negative
353,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
354,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
355,"Nolan touches greatness, falls slightly short",neutral
356,Oppen-bore-mer,neutral
357,And the Oscar goes to...,neutral
358,Is it just me ?,neutral
359,A Masterpiece,positive
360,"Breaks all filmmaklng rules, but not in a good way",negative
361,Another Cinematic Masterpiece by Christopher Nolan,positive
362,Too loud and too long,neutral
363,Disappointing,negative
364,Overlong and Overcomplicated,neutral
365,Exceptional storytelling and Genius Cinametography,neutral
366,Technically superb but...,positive
367,This movie is the bomb!,positive
368,"Murphy is Amazing, But Downey Jr Steals The Show",negative
369,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
370,this is a great film but lacks pace and drama,positive
371,This just might be as interesting as this topic can get,positive
372,Stunning - put it in a time capsule,positive
373,"Half an Hour too long, misses the point",negative
374,"Bloated, talky, unnecessarily complicated.",neutral
375,"A challenging watch to be sure, but a worthwhile one.",positive
376,Murphy is exceptional,neutral
377,Quality but exhausting,negative
378,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
379,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
380,"Nolan touches greatness, falls slightly short",neutral
381,Oppen-bore-mer,neutral
382,And the Oscar goes to...,neutral
383,Is it just me ?,neutral
384,A Masterpiece,positive
385,"Breaks all filmmaklng rules, but not in a good way",negative
386,Another Cinematic Masterpiece by Christopher Nolan,positive
387,Too loud and too long,neutral
388,Disappointing,negative
389,Overlong and Overcomplicated,neutral
390,Exceptional storytelling and Genius Cinametography,neutral
391,Technically superb but...,positive
392,This movie is the bomb!,positive
393,"Murphy is Amazing, But Downey Jr Steals The Show",negative
394,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
395,this is a great film but lacks pace and drama,positive
396,This just might be as interesting as this topic can get,positive
397,Stunning - put it in a time capsule,positive
398,"Half an Hour too long, misses the point",negative
399,"Bloated, talky, unnecessarily complicated.",neutral
400,"A challenging watch to be sure, but a worthwhile one.",positive
401,Murphy is exceptional,neutral
402,Quality but exhausting,negative
403,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
404,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
405,"Nolan touches greatness, falls slightly short",neutral
406,Oppen-bore-mer,neutral
407,And the Oscar goes to...,neutral
408,Is it just me ?,neutral
409,A Masterpiece,positive
410,"Breaks all filmmaklng rules, but not in a good way",negative
411,Another Cinematic Masterpiece by Christopher Nolan,positive
412,Too loud and too long,neutral
413,Disappointing,negative
414,Overlong and Overcomplicated,neutral
415,Exceptional storytelling and Genius Cinametography,neutral
416,Technically superb but...,positive
417,This movie is the bomb!,positive
418,"Murphy is Amazing, But Downey Jr Steals The Show",negative
419,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
420,this is a great film but lacks pace and drama,positive
421,This just might be as interesting as this topic can get,positive
422,Stunning - put it in a time capsule,positive
423,"Half an Hour too long, misses the point",negative
424,"Bloated, talky, unnecessarily complicated.",neutral
425,"A challenging watch to be sure, but a worthwhile one.",positive
426,Murphy is exceptional,neutral
427,Quality but exhausting,negative
428,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
429,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
430,"Nolan touches greatness, falls slightly short",neutral
431,Oppen-bore-mer,neutral
432,And the Oscar goes to...,neutral
433,Is it just me ?,neutral
434,A Masterpiece,positive
435,"Breaks all filmmaklng rules, but not in a good way",negative
436,Another Cinematic Masterpiece by Christopher Nolan,positive
437,Too loud and too long,neutral
438,Disappointing,negative
439,Overlong and Overcomplicated,neutral
440,Exceptional storytelling and Genius Cinametography,neutral
441,Technically superb but...,positive
442,This movie is the bomb!,positive
443,"Murphy is Amazing, But Downey Jr Steals The Show",negative
444,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
445,this is a great film but lacks pace and drama,positive
446,This just might be as interesting as this topic can get,positive
447,Stunning - put it in a time capsule,positive
448,"Half an Hour too long, misses the point",negative
449,"Bloated, talky, unnecessarily complicated.",neutral
450,"A challenging watch to be sure, but a worthwhile one.",positive
451,Murphy is exceptional,neutral
452,Quality but exhausting,negative
453,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
454,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
455,"Nolan touches greatness, falls slightly short",neutral
456,Oppen-bore-mer,neutral
457,And the Oscar goes to...,neutral
458,Is it just me ?,neutral
459,A Masterpiece,positive
460,"Breaks all filmmaklng rules, but not in a good way",negative
461,Another Cinematic Masterpiece by Christopher Nolan,positive
462,Too loud and too long,neutral
463,Disappointing,negative
464,Overlong and Overcomplicated,neutral
465,Exceptional storytelling and Genius Cinametography,neutral
466,Technically superb but...,positive
467,This movie is the bomb!,positive
468,"Murphy is Amazing, But Downey Jr Steals The Show",negative
469,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
470,this is a great film but lacks pace and drama,positive
471,This just might be as interesting as this topic can get,positive
472,Stunning - put it in a time capsule,positive
473,"Half an Hour too long, misses the point",negative
474,"Bloated, talky, unnecessarily complicated.",neutral
475,"A challenging watch to be sure, but a worthwhile one.",positive
476,Murphy is exceptional,neutral
477,Quality but exhausting,negative
478,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
479,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
480,"Nolan touches greatness, falls slightly short",neutral
481,Oppen-bore-mer,neutral
482,And the Oscar goes to...,neutral
483,Is it just me ?,neutral
484,A Masterpiece,positive
485,"Breaks all filmmaklng rules, but not in a good way",negative
486,Another Cinematic Masterpiece by Christopher Nolan,positive
487,Too loud and too long,neutral
488,Disappointing,negative
489,Overlong and Overcomplicated,neutral
490,Exceptional storytelling and Genius Cinametography,neutral
491,Technically superb but...,positive
492,This movie is the bomb!,positive
493,"Murphy is Amazing, But Downey Jr Steals The Show",negative
494,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
495,this is a great film but lacks pace and drama,positive
496,This just might be as interesting as this topic can get,positive
497,Stunning - put it in a time capsule,positive
498,"Half an Hour too long, misses the point",negative
499,"Bloated, talky, unnecessarily complicated.",neutral
