id,Review Title,sentiment_category
500,"A challenging watch to be sure, but a worthwhile one.",positive
501,Murphy is exceptional,neutral
502,Quality but exhausting,negative
503,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
504,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
505,"Nolan touches greatness, falls slightly short",neutral
506,Oppen-bore-mer,neutral
507,And the Oscar goes to...,neutral
508,Is it just me ?,neutral
509,A Masterpiece,positive
510,"Breaks all filmmaklng rules, but not in a good way",negative
511,Another Cinematic Masterpiece by Christopher Nolan,positive
512,Too loud and too long,neutral
513,Disappointing,negative
514,Overlong and Overcomplicated,neutral
515,Exceptional storytelling and Genius Cinametography,neutral
516,Technically superb but...,positive
517,This movie is the bomb!,positive
518,"Murphy is Amazing, But Downey Jr Steals The Show",negative
519,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
520,this is a great film but lacks pace and drama,positive
521,This just might be as interesting as this topic can get,positive
522,Stunning - put it in a time capsule,positive
523,"Half an Hour too long, misses the point",negative
524,"Bloated, talky, unnecessarily complicated.",neutral
525,"A challenging watch to be sure, but a worthwhile one.",positive
526,Murphy is exceptional,neutral
527,Quality but exhausting,negative
528,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
529,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
530,"Nolan touches greatness, falls slightly short",neutral
531,Oppen-bore-mer,neutral
532,And the Oscar goes to...,neutral
533,Is it just me ?,neutral
534,A Masterpiece,positive
535,"Breaks all filmmaklng rules, but not in a good way",negative
536,Another Cinematic Masterpiece by Christopher Nolan,positive
537,Too loud and too long,neutral
538,Disappointing,negative
539,Overlong and Overcomplicated,neutral
540,Exceptional storytelling and Genius Cinametography,neutral
541,Technically superb but...,positive
542,This movie is the bomb!,positive
543,"Murphy is Amazing, But Downey Jr Steals The Show",negative
544,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
545,this is a great film but lacks pace and drama,positive
546,This just might be as interesting as this topic can get,positive
547,Stunning - put it in a time capsule,positive
548,"Half an Hour too long, misses the point",negative
549,"Bloated, talky, unnecessarily complicated.",neutral
550,"A challenging watch to be sure, but a worthwhile one.",positive
551,Murphy is exceptional,neutral
552,Quality but exhausting,negative
553,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
554,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
555,"Nolan touches greatness, falls slightly short",neutral
556,Oppen-bore-mer,neutral
557,And the Oscar goes to...,neutral
558,Is it just me ?,neutral
559,A Masterpiece,positive
560,"Breaks all filmmaklng rules, but not in a good way",negative
561,Another Cinematic Masterpiece by Christopher Nolan,positive
562,Too loud and too long,neutral
563,Disappointing,negative
564,Overlong and Overcomplicated,neutral
565,Exceptional storytelling and Genius Cinametography,neutral
566,Technically superb but...,positive
567,This movie is the bomb!,positive
568,"Murphy is Amazing, But Downey Jr Steals The Show",negative
569,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
570,this is a great film but lacks pace and drama,positive
571,This just might be as interesting as this topic can get,positive
572,Stunning - put it in a time capsule,positive
573,"Half an Hour too long, misses the point",negative
574,"Bloated, talky, unnecessarily complicated.",neutral
575,"A challenging watch to be sure, but a worthwhile one.",positive
576,Murphy is exceptional,neutral
577,Quality but exhausting,negative
578,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
579,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
580,"Nolan touches greatness, falls slightly short",neutral
581,Oppen-bore-mer,neutral
582,And the Oscar goes to...,neutral
583,Is it just me ?,neutral
584,A Masterpiece,positive
585,"Breaks all filmmaklng rules, but not in a good way",negative
586,Another Cinematic Masterpiece by Christopher Nolan,positive
587,Too loud and too long,neutral
588,Disappointing,negative
589,Overlong and Overcomplicated,neutral
590,Exceptional storytelling and Genius Cinametography,neutral
591,Technically superb but...,positive
592,This movie is the bomb!,positive
593,"Murphy is Amazing, But Downey Jr Steals The Show",negative
594,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
595,this is a great film but lacks pace and drama,positive
596,This just might be as interesting as this topic can get,positive
597,Stunning - put it in a time capsule,positive
598,"Half an Hour too long, misses the point",negative
599,"Bloated, talky, unnecessarily complicated.",neutral
600,"A challenging watch to be sure, but a worthwhile one.",positive
601,Murphy is exceptional,neutral
602,Quality but exhausting,negative
603,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
604,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
605,"Nolan touches greatness, falls slightly short",neutral
606,Oppen-bore-mer,neutral
607,And the Oscar goes to...,neutral
608,Is it just me ?,neutral
609,A Masterpiece,positive
610,"Breaks all filmmaklng rules, but not in a good way",negative
611,Another Cinematic Masterpiece by Christopher Nolan,positive
612,Too loud and too long,neutral
613,Disappointing,negative
614,Overlong and Overcomplicated,neutral
615,Exceptional storytelling and Genius Cinametography,neutral
616,Technically superb but...,positive
617,This movie is the bomb!,positive
618,"Murphy is Amazing, But Downey Jr Steals The Show",negative
619,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
620,this is a great film but lacks pace and drama,positive
621,This just might be as interesting as this topic can get,positive
622,Stunning - put it in a time capsule,positive
623,"Half an Hour too long, misses the point",negative
624,"Bloated, talky, unnecessarily complicated.",neutral
625,"A challenging watch to be sure, but a worthwhile one.",positive
626,Murphy is exceptional,neutral
627,Quality but exhausting,negative
628,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
629,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
630,"Nolan touches greatness, falls slightly short",neutral
631,Oppen-bore-mer,neutral
632,And the Oscar goes to...,neutral
633,Is it just me ?,neutral
634,A Masterpiece,positive
635,"Breaks all filmmaklng rules, but not in a good way",negative
636,Another Cinematic Masterpiece by Christopher Nolan,positive
637,Too loud and too long,neutral
638,Disappointing,negative
639,Overlong and Overcomplicated,neutral
640,Exceptional storytelling and Genius Cinametography,neutral
641,Technically superb but...,positive
642,This movie is the bomb!,positive
643,"Murphy is Amazing, But Downey Jr Steals The Show",negative
644,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
645,this is a great film but lacks pace and drama,positive
646,This just might be as interesting as this topic can get,positive
647,Stunning - put it in a time capsule,positive
648,"Half an Hour too long, misses the point",negative
649,"Bloated, talky, unnecessarily complicated.",neutral
650,"A challenging watch to be sure, but a worthwhile one.",positive
651,Murphy is exceptional,neutral
652,Quality but exhausting,negative
653,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
654,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
655,"Nolan touches greatness, falls slightly short",neutral
656,Oppen-bore-mer,neutral
657,And the Oscar goes to...,neutral
658,Is it just me ?,neutral
659,A Masterpiece,positive
660,"Breaks all filmmaklng rules, but not in a good way",negative
661,Another Cinematic Masterpiece by Christopher Nolan,positive
662,Too loud and too long,neutral
663,Disappointing,negative
664,Overlong and Overcomplicated,neutral
665,Exceptional storytelling and Genius Cinametography,neutral
666,Technically superb but...,positive
667,This movie is the bomb!,positive
668,"Murphy is Amazing, But Downey Jr Steals The Show",negative
669,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
670,this is a great film but lacks pace and drama,positive
671,This just might be as interesting as this topic can get,positive
672,Stunning - put it in a time capsule,positive
673,"Half an Hour too long, misses the point",negative
674,"Bloated, talky, unnecessarily complicated.",neutral
675,"A challenging watch to be sure, but a worthwhile one.",positive
676,Murphy is exceptional,neutral
677,Quality but exhausting,negative
678,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
679,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
680,"Nolan touches greatness, falls slightly short",neutral
681,Oppen-bore-mer,neutral
682,And the Oscar goes to...,neutral
683,Is it just me ?,neutral
684,A Masterpiece,positive
685,"Breaks all filmmaklng rules, but not in a good way",negative
686,Another Cinematic Masterpiece by Christopher Nolan,positive
687,Too loud and too long,neutral
688,Disappointing,negative
689,Overlong and Overcomplicated,neutral
690,Exceptional storytelling and Genius Cinametography,neutral
691,Technically superb but...,positive
692,This movie is the bomb!,positive
693,"Murphy is Amazing, But Downey Jr Steals The Show",negative
694,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
695,this is a great film but lacks pace and drama,positive
696,This just might be as interesting as this topic can get,positive
697,Stunning - put it in a time capsule,positive
698,"Half an Hour too long, misses the point",negative
699,"Bloated, talky, unnecessarily complicated.",neutral
700,"A challenging watch to be sure, but a worthwhile one.",positive
701,Murphy is exceptional,neutral
702,Quality but exhausting,negative
703,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
704,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
705,"Nolan touches greatness, falls slightly short",neutral
706,Oppen-bore-mer,neutral
707,And the Oscar goes to...,neutral
708,Is it just me ?,neutral
709,A Masterpiece,positive
710,"Breaks all filmmaklng rules, but not in a good way",negative
711,Another Cinematic Masterpiece by Christopher Nolan,positive
712,Too loud and too long,neutral
713,Disappointing,negative
714,Overlong and Overcomplicated,neutral
715,Exceptional storytelling and Genius Cinametography,neutral
716,Technically superb but...,positive
717,This movie is the bomb!,positive
718,"Murphy is Amazing, But Downey Jr Steals The Show",negative
719,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
720,this is a great film but lacks pace and drama,positive
721,This just might be as interesting as this topic can get,positive
722,Stunning - put it in a time capsule,positive
723,"Half an Hour too long, misses the point",negative
724,"Bloated, talky, unnecessarily complicated.",neutral
725,"A challenging watch to be sure, but a worthwhile one.",positive
726,Murphy is exceptional,neutral
727,Quality but exhausting,negative
728,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
729,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
730,"Nolan touches greatness, falls slightly short",neutral
731,Oppen-bore-mer,neutral
732,And the Oscar goes to...,neutral
733,Is it just me ?,neutral
734,A Masterpiece,positive
735,"Breaks all filmmaklng rules, but not in a good way",negative
736,Another Cinematic Masterpiece by Christopher Nolan,positive
737,Too loud and too long,neutral
738,Disappointing,negative
739,Overlong and Overcomplicated,neutral
740,Exceptional storytelling and Genius Cinametography,neutral
741,Technically superb but...,positive
742,This movie is the bomb!,positive
743,"Murphy is Amazing, But Downey Jr Steals The Show",negative
744,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
745,this is a great film but lacks pace and drama,positive
746,This just might be as interesting as this topic can get,positive
747,Stunning - put it in a time capsule,positive
748,"Half an Hour too long, misses the point",negative
749,"Bloated, talky, unnecessarily complicated.",neutral
750,"A challenging watch to be sure, but a worthwhile one.",positive
751,Murphy is exceptional,neutral
752,Quality but exhausting,negative
753,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
754,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
755,"Nolan touches greatness, falls slightly short",neutral
756,Oppen-bore-mer,neutral
757,And the Oscar goes to...,neutral
758,Is it just me ?,neutral
759,A Masterpiece,positive
760,"Breaks all filmmaklng rules, but not in a good way",negative
761,Another Cinematic Masterpiece by Christopher Nolan,positive
762,Too loud and too long,neutral
763,Disappointing,negative
764,Overlong and Overcomplicated,neutral
765,Exceptional storytelling and Genius Cinametography,neutral
766,Technically superb but...,positive
767,This movie is the bomb!,positive
768,"Murphy is Amazing, But Downey Jr Steals The Show",negative
769,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
770,this is a great film but lacks pace and drama,positive
771,This just might be as interesting as this topic can get,positive
772,Stunning - put it in a time capsule,positive
773,"Half an Hour too long, misses the point",negative
774,"Bloated, talky, unnecessarily complicated.",neutral
775,"A challenging watch to be sure, but a worthwhile one.",positive
776,Murphy is exceptional,neutral
777,Quality but exhausting,negative
778,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
779,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
780,"Nolan touches greatness, falls slightly short",neutral
781,Oppen-bore-mer,neutral
782,And the Oscar goes to...,neutral
783,Is it just me ?,neutral
784,A Masterpiece,positive
785,"Breaks all filmmaklng rules, but not in a good way",negative
786,Another Cinematic Masterpiece by Christopher Nolan,positive
787,Too loud and too long,neutral
788,Disappointing,negative
789,Overlong and Overcomplicated,neutral
790,Exceptional storytelling and Genius Cinametography,neutral
791,Technically superb but...,positive
792,This movie is the bomb!,positive
793,"Murphy is Amazing, But Downey Jr Steals The Show",negative
794,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
795,this is a great film but lacks pace and drama,positive
796,This just might be as interesting as this topic can get,positive
797,Stunning - put it in a time capsule,positive
798,"Half an Hour too long, misses the point",negative
799,"Bloated, talky, unnecessarily complicated.",neutral
800,"A challenging watch to be sure, but a worthwhile one.",positive
801,Murphy is exceptional,neutral
802,Quality but exhausting,negative
803,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
804,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
805,"Nolan touches greatness, falls slightly short",neutral
806,Oppen-bore-mer,neutral
807,And the Oscar goes to...,neutral
808,Is it just me ?,neutral
809,A Masterpiece,positive
810,"Breaks all filmmaklng rules, but not in a good way",negative
811,Another Cinematic Masterpiece by Christopher Nolan,positive
812,Too loud and too long,neutral
813,Disappointing,negative
814,Overlong and Overcomplicated,neutral
815,Exceptional storytelling and Genius Cinametography,neutral
816,Technically superb but...,positive
817,This movie is the bomb!,positive
818,"Murphy is Amazing, But Downey Jr Steals The Show",negative
819,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
820,this is a great film but lacks pace and drama,positive
821,This just might be as interesting as this topic can get,positive
822,Stunning - put it in a time capsule,positive
823,"Half an Hour too long, misses the point",negative
824,"Bloated, talky, unnecessarily complicated.",neutral
825,"A challenging watch to be sure, but a worthwhile one.",positive
826,Murphy is exceptional,neutral
827,Quality but exhausting,negative
828,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
829,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
830,"Nolan touches greatness, falls slightly short",neutral
831,Oppen-bore-mer,neutral
832,And the Oscar goes to...,neutral
833,Is it just me ?,neutral
834,A Masterpiece,positive
835,"Breaks all filmmaklng rules, but not in a good way",negative
836,Another Cinematic Masterpiece by Christopher Nolan,positive
837,Too loud and too long,neutral
838,Disappointing,negative
839,Overlong and Overcomplicated,neutral
840,Exceptional storytelling and Genius Cinametography,neutral
841,Technically superb but...,positive
842,This movie is the bomb!,positive
843,"Murphy is Amazing, But Downey Jr Steals The Show",negative
844,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
845,this is a great film but lacks pace and drama,positive
846,This just might be as interesting as this topic can get,positive
847,Stunning - put it in a time capsule,positive
848,"Half an Hour too long, misses the point",negative
849,"Bloated, talky, unnecessarily complicated.",neutral
850,"A challenging watch to be sure, but a worthwhile one.",positive
851,Murphy is exceptional,neutral
852,Quality but exhausting,negative
853,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
854,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
855,"Nolan touches greatness, falls slightly short",neutral
856,Oppen-bore-mer,neutral
857,And the Oscar goes to...,neutral
858,Is it just me ?,neutral
859,A Masterpiece,positive
860,"Breaks all filmmaklng rules, but not in a good way",negative
861,Another Cinematic Masterpiece by Christopher Nolan,positive
862,Too loud and too long,neutral
863,Disappointing,negative
864,Overlong and Overcomplicated,neutral
865,Exceptional storytelling and Genius Cinametography,neutral
866,Technically superb but...,positive
867,This movie is the bomb!,positive
868,"Murphy is Amazing, But Downey Jr Steals The Show",negative
869,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
870,this is a great film but lacks pace and drama,positive
871,This just might be as interesting as this topic can get,positive
872,Stunning - put it in a time capsule,positive
873,"Half an Hour too long, misses the point",negative
874,"Bloated, talky, unnecessarily complicated.",neutral
875,"A challenging watch to be sure, but a worthwhile one.",positive
876,Murphy is exceptional,neutral
877,Quality but exhausting,negative
878,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
879,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
880,"Nolan touches greatness, falls slightly short",neutral
881,Oppen-bore-mer,neutral
882,And the Oscar goes to...,neutral
883,Is it just me ?,neutral
884,A Masterpiece,positive
885,"Breaks all filmmaklng rules, but not in a good way",negative
886,Another Cinematic Masterpiece by Christopher Nolan,positive
887,Too loud and too long,neutral
888,Disappointing,negative
889,Overlong and Overcomplicated,neutral
890,Exceptional storytelling and Genius Cinametography,neutral
891,Technically superb but...,positive
892,This movie is the bomb!,positive
893,"Murphy is Amazing, But Downey Jr Steals The Show",negative
894,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
895,this is a great film but lacks pace and drama,positive
896,This just might be as interesting as this topic can get,positive
897,Stunning - put it in a time capsule,positive
898,"Half an Hour too long, misses the point",negative
899,"Bloated, talky, unnecessarily complicated.",neutral
900,"A challenging watch to be sure, but a worthwhile one.",positive
901,Murphy is exceptional,neutral
902,Quality but exhausting,negative
903,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
904,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
905,"Nolan touches greatness, falls slightly short",neutral
906,Oppen-bore-mer,neutral
907,And the Oscar goes to...,neutral
908,Is it just me ?,neutral
909,A Masterpiece,positive
910,"Breaks all filmmaklng rules, but not in a good way",negative
911,Another Cinematic Masterpiece by Christopher Nolan,positive
912,Too loud and too long,neutral
913,Disappointing,negative
914,Overlong and Overcomplicated,neutral
915,Exceptional storytelling and Genius Cinametography,neutral
916,Technically superb but...,positive
917,This movie is the bomb!,positive
918,"Murphy is Amazing, But Downey Jr Steals The Show",negative
919,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
920,this is a great film but lacks pace and drama,positive
921,This just might be as interesting as this topic can get,positive
922,Stunning - put it in a time capsule,positive
923,"Half an Hour too long, misses the point",negative
924,"Bloated, talky, unnecessarily complicated.",neutral
925,"A challenging watch to be sure, but a worthwhile one.",positive
926,Murphy is exceptional,neutral
927,Quality but exhausting,negative
928,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
929,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
930,"Nolan touches greatness, falls slightly short",neutral
931,Oppen-bore-mer,neutral
932,And the Oscar goes to...,neutral
933,Is it just me ?,neutral
934,A Masterpiece,positive
935,"Breaks all filmmaklng rules, but not in a good way",negative
936,Another Cinematic Masterpiece by Christopher Nolan,positive
937,Too loud and too long,neutral
938,Disappointing,negative
939,Overlong and Overcomplicated,neutral
940,Exceptional storytelling and Genius Cinametography,neutral
941,Technically superb but...,positive
942,This movie is the bomb!,positive
943,"Murphy is Amazing, But Downey Jr Steals The Show",negative
944,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
945,this is a great film but lacks pace and drama,positive
946,This just might be as interesting as this topic can get,positive
947,Stunning - put it in a time capsule,positive
948,"Half an Hour too long, misses the point",negative
949,"Bloated, talky, unnecessarily complicated.",neutral
950,"A challenging watch to be sure, but a worthwhile one.",positive
951,Murphy is exceptional,neutral
952,Quality but exhausting,negative
953,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
954,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
955,"Nolan touches greatness, falls slightly short",neutral
956,Oppen-bore-mer,neutral
957,And the Oscar goes to...,neutral
958,Is it just me ?,neutral
959,A Masterpiece,positive
960,"Breaks all filmmaklng rules, but not in a good way",negative
961,Another Cinematic Masterpiece by Christopher Nolan,positive
962,Too loud and too long,neutral
963,Disappointing,negative
964,Overlong and Overcomplicated,neutral
965,Exceptional storytelling and Genius Cinametography,neutral
966,Technically superb but...,positive
967,This movie is the bomb!,positive
968,"Murphy is Amazing, But Downey Jr Steals The Show",negative
969,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
970,this is a great film but lacks pace and drama,positive
971,This just might be as interesting as this topic can get,positive
972,Stunning - put it in a time capsule,positive
973,"Half an Hour too long, misses the point",negative
974,"Bloated, talky, unnecessarily complicated.",neutral
975,"A challenging watch to be sure, but a worthwhile one.",positive
976,Murphy is exceptional,neutral
977,Quality but exhausting,negative
978,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
979,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
980,"Nolan touches greatness, falls slightly short",neutral
981,Oppen-bore-mer,neutral
982,And the Oscar goes to...,neutral
983,Is it just me ?,neutral
984,A Masterpiece,positive
985,"Breaks all filmmaklng rules, but not in a good way",negative
986,Another Cinematic Masterpiece by Christopher Nolan,positive
987,Too loud and too long,neutral
988,Disappointing,negative
989,Overlong and Overcomplicated,neutral
990,Exceptional storytelling and Genius Cinametography,neutral
991,Technically superb but...,positive
992,This movie is the bomb!,positive
993,"Murphy is Amazing, But Downey Jr Steals The Show",negative
994,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
995,this is a great film but lacks pace and drama,positive
996,This just might be as interesting as this topic can get,positive
997,Stunning - put it in a time capsule,positive
998,"Half an Hour too long, misses the point",negative
999,"Bloated, talky, unnecessarily complicated.",neutral
